Dataset,Logistic Regression,Random Forest,AdaBoost,Bagging,Stacking,Gradient Boosting,SVM Linéaire,Decision Tree
abalone17,88.8 ± 0.4,98.8 ± 0.2,68.9 ± 1.2,89.6 ± 0.3,96.9 ± 0.5,\textbf{99.0 ± 0.3},89.7 ± 0.5,96.9 ± 0.4
abalone8,80.8 ± 0.8,92.4 ± 0.6,69.6 ± 0.9,81.3 ± 0.9,87.7 ± 0.9,\textbf{92.6 ± 0.8},80.9 ± 0.9,88.0 ± 1.0
hayes,92.5 ± 5.0,\textbf{100.0 ± 0.0},88.4 ± 6.6,88.5 ± 5.7,99.8 ± 0.7,99.8 ± 0.7,92.0 ± 4.1,99.8 ± 0.7
libras,99.1 ± 0.6,99.8 ± 0.3,\textbf{100.0 ± 0.0},98.8 ± 0.9,99.5 ± 0.6,98.8 ± 1.0,98.7 ± 0.6,97.4 ± 1.2
pageblocks,94.7 ± 0.3,\textbf{99.4 ± 0.1},87.1 ± 0.9,94.1 ± 0.4,98.6 ± 0.2,99.4 ± 0.2,95.0 ± 0.4,98.5 ± 0.2
segmentation,91.7 ± 0.9,99.0 ± 0.1,84.5 ± 1.8,92.5 ± 0.9,98.2 ± 0.5,\textbf{99.1 ± 0.4},92.7 ± 0.9,98.1 ± 0.4
vehicle,99.0 ± 0.4,98.5 ± 0.4,97.1 ± 0.9,99.1 ± 0.3,\textbf{99.2 ± 0.3},98.2 ± 0.9,99.0 ± 0.3,95.6 ± 1.1
wine4,79.0 ± 1.5,96.2 ± 0.7,76.3 ± 1.2,80.0 ± 1.2,91.1 ± 0.9,\textbf{97.0 ± 0.5},79.9 ± 1.2,90.8 ± 0.7
yeast3,95.0 ± 0.8,98.5 ± 0.3,94.7 ± 0.7,95.0 ± 0.9,97.7 ± 0.5,\textbf{98.6 ± 0.3},95.2 ± 0.9,97.8 ± 0.5
yeast6,93.7 ± 0.9,\textbf{98.6 ± 0.4},93.1 ± 1.1,93.6 ± 0.8,97.4 ± 0.4,98.5 ± 0.4,93.6 ± 0.7,97.1 ± 0.4
