Dataset,Logistic Regression,Random Forest,AdaBoost,Bagging,Stacking,Gradient Boosting,SVM Linéaire,Decision Tree
abalone17,83.8 ± 0.7,97.5 ± 0.3,66.1 ± 1.0,84.6 ± 0.8,94.8 ± 0.7,\textbf{98.7 ± 0.2},84.6 ± 0.8,94.8 ± 0.5
abalone8,70.7 ± 0.6,87.6 ± 0.9,62.3 ± 1.0,70.2 ± 0.9,80.8 ± 0.9,\textbf{89.7 ± 0.7},69.7 ± 1.0,80.5 ± 1.1
hayes,86.4 ± 4.5,96.3 ± 3.6,82.7 ± 4.7,86.6 ± 3.5,96.1 ± 3.4,\textbf{96.5 ± 3.3},85.7 ± 3.3,96.3 ± 3.6
libras,99.3 ± 0.8,99.6 ± 0.6,98.9 ± 0.9,99.2 ± 0.7,\textbf{99.6 ± 0.6},98.7 ± 1.2,99.3 ± 0.9,97.3 ± 1.3
pageblocks,91.5 ± 0.5,98.2 ± 0.2,86.0 ± 0.9,91.7 ± 0.4,97.2 ± 0.2,\textbf{98.3 ± 0.3},92.0 ± 0.5,97.2 ± 0.3
segmentation,89.2 ± 0.7,98.7 ± 0.3,83.3 ± 1.8,90.4 ± 0.7,97.6 ± 0.5,\textbf{98.9 ± 0.2},90.5 ± 0.8,97.3 ± 0.4
vehicle,97.7 ± 1.0,98.1 ± 0.8,96.3 ± 0.9,97.9 ± 1.0,97.6 ± 1.0,\textbf{98.2 ± 0.8},97.6 ± 0.8,94.3 ± 1.1
wine4,75.7 ± 0.9,95.5 ± 0.7,72.9 ± 1.2,77.2 ± 1.3,89.5 ± 1.5,\textbf{96.6 ± 0.7},77.0 ± 1.4,89.2 ± 1.6
yeast3,92.5 ± 1.0,97.0 ± 0.8,92.1 ± 1.0,92.7 ± 1.3,95.7 ± 0.8,\textbf{97.1 ± 0.7},92.5 ± 1.1,95.6 ± 0.6
yeast6,91.3 ± 1.1,97.8 ± 0.6,90.6 ± 0.9,91.2 ± 1.0,96.0 ± 0.8,\textbf{97.9 ± 0.6},91.1 ± 1.0,96.1 ± 0.9
